#layerL_id,layerR_id,chg_def_L,chg_def_R,k[mol2/(cm2sJ)],dG0[kJ/mol]
0,1,-1,0,0,0,1,0,0,0,1.0E-4,0.0
0,1,0,-1,0,0,0,1,0,0,1.0E-5,0.0
0,1,0,0,0,-1,0,0,0,1,1.0E-1,0.0
1,2,-1,0,0,0,1,0,0,0,1.0E-6,-10.34599
1,2,0,-1,0,0,0,1,0,0,1.0E-7,-10.34599
1,2,0,0,0,-1,0,0,-1,0,1.0E-3,-184.94583
2,3,1,0,0,0,-1,0,0,0,6.43E-6,-10.34599
2,3,0,1,0,0,0,-1,0,0,6.43E-7,-10.34599
2,3,0,0,-1,0,0,0,0,-1,6.43E-3,-184.94583
3,4,-1,0,0,0,1,0,0,0,1.0E-4,0.0
3,4,0,-1,0,0,0,1,0,0,1.0E-5,0.0
3,4,0,0,0,-1,0,0,0,1,1.0E-1,0.0
1,1,1,0,0,1,1,0,0,1,1.0E-2,76.48799
1,1,0,1,0,2,0,1,0,2,1.0E-2,118.28682
3,3,1,0,0,1,1,0,0,1,1.0E-2,76.48799
3,3,0,1,0,2,0,1,0,2,1.0E-2,118.28682
